date,day,dayType,dtDesc
1405987200,Tues,9,Middle of week - school holiday
1406073600,Wed,9,Middle of week - school holiday
140616e4,Thurs,9,Middle of week - school holiday
1406246400,Fri,11,Last day of week - school holiday
1406332800,Sat,5,Saturday
1406419200,Sun,6,Sunday
1406505600,Mon,7,First day of week - school holiday
1406592e3,Tues,9,Middle of week - school holiday
1406678400,Wed,9,Middle of week - school holiday
1406764800,Thurs,9,Middle of week - school holiday
1406851200,Fri,11,Last day of week - school holiday
1406937600,Sat,5,Saturday
1407024e3,Sun,6,Sunday
1407110400,Mon,12,Bank Holidays including Good Friday
1407196800,Tues,0,First working day of normal week
1407283200,Wed,9,Middle of week - school holiday
1407369600,Thurs,9,Middle of week - school holiday
1407456e3,Fri,11,Last day of week - school holiday
1407542400,Sat,5,Saturday
1407628800,Sun,6,Sunday
1407715200,Mon,7,First day of week - school holiday
1407801600,Tues,9,Middle of week - school holiday
1407888e3,Wed,9,Middle of week - school holiday
1407974400,Thurs,9,Middle of week - school holiday
1408060800,Fri,11,Last day of week - school holiday
1408147200,Sat,5,Saturday
1408233600,Sun,6,Sunday
140832e4,Mon,7,First day of week - school holiday
1408406400,Tues,9,Middle of week - school holiday
1408492800,Wed,9,Middle of week - school holiday
1408579200,Thurs,9,Middle of week - school holiday
1408665600,Fri,11,Last day of week - school holiday
1408752e3,Sat,5,Saturday
1408838400,Sun,6,Sunday
1408924800,Mon,7,First day of week - school holiday
1409011200,Tues,9,Middle of week - school holiday
1409097600,Wed,9,Middle of week - school holiday
1409184e3,Thurs,9,Middle of week - school holiday
1409270400,Fri,11,Last day of week - school holiday
1409356800,Sat,5,Saturday
1409443200,Sun,6,Sunday
1409529600,Mon,0,First working day of normal week
1409616e3,Tues,1,Normal working Tuesday
1409702400,Wed,2,Normal working Wednesday
1409788800,Thurs,3,Normal working Thursday
1409875200,Fri,4,Last working day of normal week
1409961600,Sat,5,Saturday
1410048e3,Sun,6,Sunday
1410134400,Mon,0,First working day of normal week
1410220800,Tues,1,Normal working Tuesday
1410307200,Wed,2,Normal working Wednesday
1410393600,Thurs,3,Normal working Thursday
141048e4,Fri,4,Last working day of normal week
1410566400,Sat,5,Saturday
1410652800,Sun,6,Sunday
1410739200,Mon,0,First working day of normal week
1410825600,Tues,1,Normal working Tuesday
1410912e3,Wed,2,Normal working Wednesday
1410998400,Thurs,3,Normal working Thursday
1411084800,Fri,4,Last working day of normal week
1411171200,Sat,5,Saturday
1411257600,Sun,6,Sunday
1411344e3,Mon,0,First working day of normal week
1411430400,Tues,1,Normal working Tuesday
1411516800,Wed,2,Normal working Wednesday
1411603200,Thurs,3,Normal working Thursday
1411689600,Fri,4,Last working day of normal week
1411776e3,Sat,5,Saturday
1411862400,Sun,6,Sunday
1411948800,Mon,0,First working day of normal week
1412035200,Tues,1,Normal working Tuesday
1412121600,Wed,2,Normal working Wednesday
1412208e3,Thurs,3,Normal working Thursday
1412294400,Fri,4,Last working day of normal week
1412380800,Sat,5,Saturday
1412467200,Sun,6,Sunday
1412553600,Mon,0,First working day of normal week
141264e4,Tues,1,Normal working Tuesday
1412726400,Wed,2,Normal working Wednesday
1412812800,Thurs,3,Normal working Thursday
1412899200,Fri,4,Last working day of normal week
1412985600,Sat,5,Saturday
1413072e3,Sun,6,Sunday
1413158400,Mon,0,First working day of normal week
1413244800,Tues,1,Normal working Tuesday
1413331200,Wed,2,Normal working Wednesday
1413417600,Thurs,3,Normal working Thursday
1413504e3,Fri,4,Last working day of normal week
1413590400,Sat,5,Saturday
1413676800,Sun,6,Sunday
1413763200,Mon,0,First working day of normal week
1413849600,Tues,1,Normal working Tuesday
1413936e3,Wed,2,Normal working Wednesday
1414022400,Thurs,3,Normal working Thursday
1414108800,Fri,4,Last working day of normal week
1414195200,Sat,5,Saturday
1414281600,Sun,6,Sunday
1414368e3,Mon,12,Bank Holidays including Good Friday
1414454400,Tues,0,First working day of normal week
1414540800,Wed,9,Middle of week - school holiday
1414627200,Thurs,9,Middle of week - school holiday
1414713600,Fri,11,Last day of week - school holiday
14148e5,Sat,5,Saturday
1414886400,Sun,6,Sunday
1414972800,Mon,0,First working day of normal week
1415059200,Tues,1,Normal working Tuesday
1415145600,Wed,2,Normal working Wednesday
1415232e3,Thurs,3,Normal working Thursday
1415318400,Fri,4,Last working day of normal week
1415404800,Sat,5,Saturday
1415491200,Sun,6,Sunday
1415577600,Mon,0,First working day of normal week
1415664e3,Tues,1,Normal working Tuesday
1415750400,Wed,2,Normal working Wednesday
1415836800,Thurs,3,Normal working Thursday
1415923200,Fri,4,Last working day of normal week
1416009600,Sat,5,Saturday
1416096e3,Sun,6,Sunday
1416182400,Mon,0,First working day of normal week
1416268800,Tues,1,Normal working Tuesday
1416355200,Wed,2,Normal working Wednesday
1416441600,Thurs,3,Normal working Thursday
1416528e3,Fri,4,Last working day of normal week
1416614400,Sat,5,Saturday
1416700800,Sun,6,Sunday
1416787200,Mon,0,First working day of normal week
1416873600,Tues,1,Normal working Tuesday
141696e4,Wed,2,Normal working Wednesday
1417046400,Thurs,3,Normal working Thursday
1417132800,Fri,4,Last working day of normal week
1417219200,Sat,5,Saturday
1417305600,Sun,6,Sunday
1417392e3,Mon,0,First working day of normal week
1417478400,Tues,1,Normal working Tuesday
1417564800,Wed,2,Normal working Wednesday
1417651200,Thurs,3,Normal working Thursday
1417737600,Fri,4,Last working day of normal week
1417824e3,Sat,5,Saturday
1417910400,Sun,6,Sunday
1417996800,Mon,0,First working day of normal week
1418083200,Tues,1,Normal working Tuesday
1418169600,Wed,2,Normal working Wednesday
1418256e3,Thurs,3,Normal working Thursday
1418342400,Fri,4,Last working day of normal week
1418428800,Sat,5,Saturday
1418515200,Sun,6,Sunday
1418601600,Mon,0,First working day of normal week
1418688e3,Tues,1,Normal working Tuesday
1418774400,Wed,2,Normal working Wednesday
1418860800,Thurs,3,Normal working Thursday
1418947200,Fri,4,Last working day of normal week
1419033600,Sat,5,Saturday
141912e4,Sun,6,Sunday
1419206400,Mon,7,First day of week - school holiday
1419292800,Tues,9,Middle of week - school holiday
1419379200,Wed,9,Middle of week - school holiday
1419465600,Thurs,14,Christmas Day / New Years Day
1419552e3,Fri,13,Christmas period holidays
1419638400,Sat,13,Christmas period holidays
1419724800,Sun,13,Christmas period holidays
1419811200,Mon,13,Christmas period holidays
1419897600,Tues,13,Christmas period holidays
1419984e3,Wed,13,Christmas period holidays
1420070400,Thurs,14,Christmas Day / New Years Day
1420156800,Fri,11,Last day of week - school holiday
1420243200,Sat,5,Saturday
1420329600,Sun,6,Sunday
1420416e3,Mon,0,First working day of normal week
1420502400,Tues,1,Normal working Tuesday
1420588800,Wed,2,Normal working Wednesday
1420675200,Thurs,3,Normal working Thursday
1420761600,Fri,4,Last working day of normal week
1420848e3,Sat,5,Saturday
1420934400,Sun,6,Sunday
1421020800,Mon,0,First working day of normal week
1421107200,Tues,1,Normal working Tuesday
1421193600,Wed,2,Normal working Wednesday
142128e4,Thurs,3,Normal working Thursday
1421366400,Fri,4,Last working day of normal week
1421452800,Sat,5,Saturday
1421539200,Sun,6,Sunday
1421625600,Mon,0,First working day of normal week
1421712e3,Tues,1,Normal working Tuesday
1421798400,Wed,2,Normal working Wednesday
1421884800,Thurs,3,Normal working Thursday
1421971200,Fri,4,Last working day of normal week
1422057600,Sat,5,Saturday
1422144e3,Sun,6,Sunday
1422230400,Mon,0,First working day of normal week
1422316800,Tues,1,Normal working Tuesday
1422403200,Wed,2,Normal working Wednesday
1422489600,Thurs,3,Normal working Thursday
1422576e3,Fri,4,Last working day of normal week
1422662400,Sat,5,Saturday
1422748800,Sun,6,Sunday
1422835200,Mon,0,First working day of normal week
1422921600,Tues,1,Normal working Tuesday
1423008e3,Wed,2,Normal working Wednesday
1423094400,Thurs,3,Normal working Thursday
1423180800,Fri,4,Last working day of normal week
1423267200,Sat,5,Saturday
1423353600,Sun,6,Sunday
142344e4,Mon,0,First working day of normal week
1423526400,Tues,1,Normal working Tuesday
1423612800,Wed,2,Normal working Wednesday
1423699200,Thurs,3,Normal working Thursday
1423785600,Fri,4,Last working day of normal week
1423872e3,Sat,5,Saturday
1423958400,Sun,6,Sunday
1424044800,Mon,7,First day of week - school holiday
1424131200,Tues,9,Middle of week - school holiday
1424217600,Wed,9,Middle of week - school holiday
1424304e3,Thurs,9,Middle of week - school holiday
1424390400,Fri,11,Last day of week - school holiday
1424476800,Sat,5,Saturday
1424563200,Sun,6,Sunday
1424649600,Mon,0,First working day of normal week
1424736e3,Tues,1,Normal working Tuesday
1424822400,Wed,2,Normal working Wednesday
1424908800,Thurs,3,Normal working Thursday
1424995200,Fri,4,Last working day of normal week
1425081600,Sat,5,Saturday
1425168e3,Sun,6,Sunday
1425254400,Mon,0,First working day of normal week
1425340800,Tues,1,Normal working Tuesday
1425427200,Wed,2,Normal working Wednesday
1425513600,Thurs,3,Normal working Thursday
14256e5,Fri,4,Last working day of normal week
1425686400,Sat,5,Saturday
1425772800,Sun,6,Sunday
1425859200,Mon,0,First working day of normal week
1425945600,Tues,1,Normal working Tuesday
1426032e3,Wed,2,Normal working Wednesday
1426118400,Thurs,3,Normal working Thursday
1426204800,Fri,4,Last working day of normal week
1426291200,Sat,5,Saturday
1426377600,Sun,6,Sunday
1426464e3,Mon,0,First working day of normal week
1426550400,Tues,12,Bank Holidays including Good Friday
1426636800,Wed,0,First working day of normal week
1426723200,Thurs,3,Normal working Thursday
1426809600,Fri,4,Last working day of normal week
1426896e3,Sat,5,Saturday
1426982400,Sun,6,Sunday
1427068800,Mon,0,First working day of normal week
1427155200,Tues,1,Normal working Tuesday
1427241600,Wed,2,Normal working Wednesday
1427328e3,Thurs,3,Normal working Thursday
1427414400,Fri,4,Last working day of normal week
1427500800,Sat,5,Saturday
1427587200,Sun,6,Sunday
1427673600,Mon,7,First day of week - school holiday
142776e4,Tues,9,Middle of week - school holiday
1427846400,Wed,9,Middle of week - school holiday
1427932800,Thurs,9,Middle of week - school holiday
1428019200,Fri,12,Bank Holidays including Good Friday
1428105600,Sat,5,Saturday
1428192e3,Sun,6,Sunday
1428278400,Mon,12,Bank Holidays including Good Friday
1428364800,Tues,0,First working day of normal week
1428451200,Wed,9,Middle of week - school holiday
1428537600,Thurs,9,Middle of week - school holiday
1428624e3,Fri,11,Last day of week - school holiday
1428710400,Sat,5,Saturday
1428796800,Sun,6,Sunday
1428883200,Mon,0,First working day of normal week
1428969600,Tues,1,Normal working Tuesday
1429056e3,Wed,2,Normal working Wednesday
1429142400,Thurs,3,Normal working Thursday
1429228800,Fri,4,Last working day of normal week
1429315200,Sat,5,Saturday
1429401600,Sun,6,Sunday
1429488e3,Mon,0,First working day of normal week
1429574400,Tues,1,Normal working Tuesday
1429660800,Wed,2,Normal working Wednesday
1429747200,Thurs,3,Normal working Thursday
1429833600,Fri,4,Last working day of normal week
142992e4,Sat,5,Saturday
1430006400,Sun,6,Sunday
1430092800,Mon,0,First working day of normal week
1430179200,Tues,1,Normal working Tuesday
1430265600,Wed,2,Normal working Wednesday
1430352e3,Thurs,3,Normal working Thursday
1430438400,Fri,4,Last working day of normal week
1430524800,Sat,5,Saturday
1430611200,Sun,6,Sunday
1430697600,Mon,12,Bank Holidays including Good Friday
1430784e3,Tues,0,First working day of normal week
1430870400,Wed,2,Normal working Wednesday
1430956800,Thurs,3,Normal working Thursday
1431043200,Fri,4,Last working day of normal week
1431129600,Sat,5,Saturday
1431216e3,Sun,6,Sunday
1431302400,Mon,0,First working day of normal week
1431388800,Tues,1,Normal working Tuesday
1431475200,Wed,2,Normal working Wednesday
1431561600,Thurs,3,Normal working Thursday
1431648e3,Fri,4,Last working day of normal week
