date,day,dayType,dtDesc
1501718400,Thurs,9,Middle of week - school holiday
1501804800,Fri,11,Last day of week - school holiday
1501891200,Sat,5,Saturday
1501977600,Sun,6,Sunday
1502064e3,Mon,12,Bank Holidays including Good Friday
1502150400,Tues,0,First working day of normal week
1502236800,Wed,9,Middle of week - school holiday
1502323200,Thurs,9,Middle of week - school holiday
1502409600,Fri,11,Last day of week - school holiday
1502496e3,Sat,5,Saturday
1502582400,Sun,6,Sunday
1502668800,Mon,7,First day of week - school holiday
1502755200,Tues,9,Middle of week - school holiday
1502841600,Wed,9,Middle of week - school holiday
1502928e3,Thurs,9,Middle of week - school holiday
1503014400,Fri,11,Last day of week - school holiday
1503100800,Sat,5,Saturday
1503187200,Sun,6,Sunday
1503273600,Mon,7,First day of week - school holiday
150336e4,Tues,9,Middle of week - school holiday
1503446400,Wed,9,Middle of week - school holiday
1503532800,Thurs,9,Middle of week - school holiday
1503619200,Fri,11,Last day of week - school holiday
1503705600,Sat,5,Saturday
1503792e3,Sun,6,Sunday
1503878400,Mon,7,First day of week - school holiday
1503964800,Tues,9,Middle of week - school holiday
1504051200,Wed,9,Middle of week - school holiday
1504137600,Thurs,9,Middle of week - school holiday
1504224e3,Fri,4,Last working day of normal week
1504310400,Sat,5,Saturday
1504396800,Sun,6,Sunday
1504483200,Mon,0,First working day of normal week
1504569600,Tues,1,Normal working Tuesday
1504656e3,Wed,2,Normal working Wednesday
1504742400,Thurs,3,Normal working Thursday
1504828800,Fri,4,Last working day of normal week
1504915200,Sat,5,Saturday
1505001600,Sun,6,Sunday
1505088e3,Mon,0,First working day of normal week
1505174400,Tues,1,Normal working Tuesday
1505260800,Wed,2,Normal working Wednesday
1505347200,Thurs,3,Normal working Thursday
1505433600,Fri,4,Last working day of normal week
150552e4,Sat,5,Saturday
1505606400,Sun,6,Sunday
1505692800,Mon,0,First working day of normal week
1505779200,Tues,1,Normal working Tuesday
1505865600,Wed,2,Normal working Wednesday
1505952e3,Thurs,3,Normal working Thursday
1506038400,Fri,4,Last working day of normal week
1506124800,Sat,5,Saturday
1506211200,Sun,6,Sunday
1506297600,Mon,0,First working day of normal week
1506384e3,Tues,1,Normal working Tuesday
1506470400,Wed,2,Normal working Wednesday
1506556800,Thurs,3,Normal working Thursday
1506643200,Fri,4,Last working day of normal week
1506729600,Sat,5,Saturday
1506816e3,Sun,6,Sunday
1506902400,Mon,0,First working day of normal week
1506988800,Tues,1,Normal working Tuesday
1507075200,Wed,2,Normal working Wednesday
1507161600,Thurs,3,Normal working Thursday
1507248e3,Fri,4,Last working day of normal week
1507334400,Sat,5,Saturday
1507420800,Sun,6,Sunday
1507507200,Mon,0,First working day of normal week
1507593600,Tues,1,Normal working Tuesday
150768e4,Wed,2,Normal working Wednesday
1507766400,Thurs,3,Normal working Thursday
1507852800,Fri,4,Last working day of normal week
1507939200,Sat,5,Saturday
1508025600,Sun,6,Sunday
1508112e3,Mon,0,First working day of normal week
1508198400,Tues,1,Normal working Tuesday
1508284800,Wed,2,Normal working Wednesday
1508371200,Thurs,3,Normal working Thursday
1508457600,Fri,4,Last working day of normal week
1508544e3,Sat,5,Saturday
1508630400,Sun,6,Sunday
1508716800,Mon,0,First working day of normal week
1508803200,Tues,1,Normal working Tuesday
1508889600,Wed,2,Normal working Wednesday
1508976e3,Thurs,3,Normal working Thursday
1509062400,Fri,4,Last working day of normal week
1509148800,Sat,5,Saturday
1509235200,Sun,6,Sunday
1509321600,Mon,12,Bank Holidays including Good Friday
1509408e3,Tues,0,First working day of normal week
1509494400,Wed,9,Middle of week - school holiday
1509580800,Thurs,9,Middle of week - school holiday
1509667200,Fri,11,Last day of week - school holiday
1509753600,Sat,5,Saturday
150984e4,Sun,6,Sunday
1509926400,Mon,0,First working day of normal week
1510012800,Tues,1,Normal working Tuesday
1510099200,Wed,2,Normal working Wednesday
1510185600,Thurs,3,Normal working Thursday
1510272e3,Fri,4,Last working day of normal week
1510358400,Sat,5,Saturday
1510444800,Sun,6,Sunday
1510531200,Mon,0,First working day of normal week
1510617600,Tues,1,Normal working Tuesday
1510704e3,Wed,2,Normal working Wednesday
1510790400,Thurs,3,Normal working Thursday
1510876800,Fri,4,Last working day of normal week
1510963200,Sat,5,Saturday
1511049600,Sun,6,Sunday
1511136e3,Mon,0,First working day of normal week
1511222400,Tues,1,Normal working Tuesday
1511308800,Wed,2,Normal working Wednesday
1511395200,Thurs,3,Normal working Thursday
1511481600,Fri,4,Last working day of normal week
1511568e3,Sat,5,Saturday
1511654400,Sun,6,Sunday
1511740800,Mon,0,First working day of normal week
1511827200,Tues,1,Normal working Tuesday
1511913600,Wed,2,Normal working Wednesday
1512e6,Thurs,3,Normal working Thursday
1512086400,Fri,4,Last working day of normal week
1512172800,Sat,5,Saturday
1512259200,Sun,6,Sunday
1512345600,Mon,0,First working day of normal week
1512432e3,Tues,1,Normal working Tuesday
1512518400,Wed,2,Normal working Wednesday
1512604800,Thurs,3,Normal working Thursday
1512691200,Fri,4,Last working day of normal week
1512777600,Sat,5,Saturday
1512864e3,Sun,6,Sunday
1512950400,Mon,0,First working day of normal week
1513036800,Tues,1,Normal working Tuesday
1513123200,Wed,2,Normal working Wednesday
1513209600,Thurs,3,Normal working Thursday
1513296e3,Fri,4,Last working day of normal week
1513382400,Sat,5,Saturday
1513468800,Sun,6,Sunday
1513555200,Mon,0,First working day of normal week
1513641600,Tues,1,Normal working Tuesday
1513728e3,Wed,2,Normal working Wednesday
1513814400,Thurs,3,Normal working Thursday
1513900800,Fri,4,Last working day of normal week
1513987200,Sat,5,Saturday
1514073600,Sun,6,Sunday
151416e4,Mon,14,Christmas Day / New Years Day
1514246400,Tues,13,Christmas period holidays
1514332800,Wed,13,Christmas period holidays
1514419200,Thurs,13,Christmas period holidays
1514505600,Fri,13,Christmas period holidays
1514592e3,Sat,13,Christmas period holidays
1514678400,Sun,13,Christmas period holidays
1514764800,Mon,14,Christmas Day / New Years Day
1514851200,Tues,9,Middle of week - school holiday
1514937600,Wed,9,Middle of week - school holiday
1515024e3,Thurs,9,Middle of week - school holiday
1515110400,Fri,11,Last day of week - school holiday
1515196800,Sat,5,Saturday
1515283200,Sun,6,Sunday
1515369600,Mon,0,First working day of normal week
1515456e3,Tues,1,Normal working Tuesday
1515542400,Wed,2,Normal working Wednesday
1515628800,Thurs,3,Normal working Thursday
1515715200,Fri,4,Last working day of normal week
1515801600,Sat,5,Saturday
1515888e3,Sun,6,Sunday
1515974400,Mon,0,First working day of normal week
1516060800,Tues,1,Normal working Tuesday
1516147200,Wed,2,Normal working Wednesday
1516233600,Thurs,3,Normal working Thursday
151632e4,Fri,4,Last working day of normal week
1516406400,Sat,5,Saturday
1516492800,Sun,6,Sunday
1516579200,Mon,0,First working day of normal week
1516665600,Tues,1,Normal working Tuesday
1516752e3,Wed,2,Normal working Wednesday
1516838400,Thurs,3,Normal working Thursday
1516924800,Fri,4,Last working day of normal week
1517011200,Sat,5,Saturday
1517097600,Sun,6,Sunday
1517184e3,Mon,0,First working day of normal week
1517270400,Tues,1,Normal working Tuesday
1517356800,Wed,2,Normal working Wednesday
1517443200,Thurs,3,Normal working Thursday
1517529600,Fri,4,Last working day of normal week
1517616e3,Sat,5,Saturday
1517702400,Sun,6,Sunday
1517788800,Mon,0,First working day of normal week
1517875200,Tues,1,Normal working Tuesday
1517961600,Wed,2,Normal working Wednesday
1518048e3,Thurs,3,Normal working Thursday
1518134400,Fri,4,Last working day of normal week
1518220800,Sat,5,Saturday
1518307200,Sun,6,Sunday
1518393600,Mon,7,First day of week - school holiday
151848e4,Tues,9,Middle of week - school holiday
1518566400,Wed,9,Middle of week - school holiday
1518652800,Thurs,9,Middle of week - school holiday
1518739200,Fri,11,Last day of week - school holiday
1518825600,Sat,5,Saturday
1518912e3,Sun,6,Sunday
1518998400,Mon,0,First working day of normal week
1519084800,Tues,1,Normal working Tuesday
1519171200,Wed,2,Normal working Wednesday
1519257600,Thurs,3,Normal working Thursday
1519344e3,Fri,4,Last working day of normal week
1519430400,Sat,5,Saturday
1519516800,Sun,6,Sunday
1519603200,Mon,0,First working day of normal week
1519689600,Tues,1,Normal working Tuesday
1519776e3,Wed,2,Normal working Wednesday
1519862400,Thurs,3,Normal working Thursday
1519948800,Fri,4,Last working day of normal week
1520035200,Sat,5,Saturday
1520121600,Sun,6,Sunday
1520208e3,Mon,0,First working day of normal week
1520294400,Tues,1,Normal working Tuesday
1520380800,Wed,2,Normal working Wednesday
1520467200,Thurs,3,Normal working Thursday
1520553600,Fri,4,Last working day of normal week
152064e4,Sat,5,Saturday
1520726400,Sun,6,Sunday
1520812800,Mon,0,First working day of normal week
1520899200,Tues,1,Normal working Tuesday
1520985600,Wed,2,Normal working Wednesday
1521072e3,Thurs,3,Normal working Thursday
1521158400,Fri,4,Last working day of normal week
1521244800,Sat,5,Saturday
1521331200,Sun,6,Sunday
1521417600,Mon,12,Bank Holidays including Good Friday
1521504e3,Tues,0,First working day of normal week
1521590400,Wed,2,Normal working Wednesday
1521676800,Thurs,3,Normal working Thursday
1521763200,Fri,4,Last working day of normal week
1521849600,Sat,5,Saturday
1521936e3,Sun,6,Sunday
1522022400,Mon,7,First day of week - school holiday
1522108800,Tues,9,Middle of week - school holiday
1522195200,Wed,9,Middle of week - school holiday
1522281600,Thurs,9,Middle of week - school holiday
1522368e3,Fri,12,Bank Holidays including Good Friday
1522454400,Sat,5,Saturday
1522540800,Sun,6,Sunday
1522627200,Mon,12,Bank Holidays including Good Friday
1522713600,Tues,0,First working day of normal week
15228e5,Wed,9,Middle of week - school holiday
1522886400,Thurs,9,Middle of week - school holiday
1522972800,Fri,11,Last day of week - school holiday
1523059200,Sat,5,Saturday
1523145600,Sun,6,Sunday
1523232e3,Mon,0,First working day of normal week
1523318400,Tues,1,Normal working Tuesday
1523404800,Wed,2,Normal working Wednesday
1523491200,Thurs,3,Normal working Thursday
1523577600,Fri,4,Last working day of normal week
1523664e3,Sat,5,Saturday
1523750400,Sun,6,Sunday
1523836800,Mon,0,First working day of normal week
1523923200,Tues,1,Normal working Tuesday
1524009600,Wed,2,Normal working Wednesday
1524096e3,Thurs,3,Normal working Thursday
1524182400,Fri,4,Last working day of normal week
1524268800,Sat,5,Saturday
1524355200,Sun,6,Sunday
1524441600,Mon,0,First working day of normal week
1524528e3,Tues,1,Normal working Tuesday
1524614400,Wed,2,Normal working Wednesday
1524700800,Thurs,3,Normal working Thursday
1524787200,Fri,4,Last working day of normal week
1524873600,Sat,5,Saturday
152496e4,Sun,6,Sunday
1525046400,Mon,0,First working day of normal week
1525132800,Tues,1,Normal working Tuesday
1525219200,Wed,2,Normal working Wednesday
1525305600,Thurs,3,Normal working Thursday
1525392e3,Fri,4,Last working day of normal week
1525478400,Sat,5,Saturday
1525564800,Sun,6,Sunday
1525651200,Mon,12,Bank Holidays including Good Friday
1525737600,Tues,0,First working day of normal week
1525824e3,Wed,2,Normal working Wednesday
1525910400,Thurs,3,Normal working Thursday
1525996800,Fri,4,Last working day of normal week
1526083200,Sat,5,Saturday
1526169600,Sun,6,Sunday
1526256e3,Mon,0,First working day of normal week
1526342400,Tues,1,Normal working Tuesday
1526428800,Wed,2,Normal working Wednesday
1526515200,Thurs,3,Normal working Thursday
1526601600,Fri,4,Last working day of normal week
1526688e3,Sat,5,Saturday
1526774400,Sun,6,Sunday
1526860800,Mon,0,First working day of normal week
1526947200,Tues,1,Normal working Tuesday
1527033600,Wed,2,Normal working Wednesday
152712e4,Thurs,3,Normal working Thursday
1527206400,Fri,4,Last working day of normal week
1527292800,Sat,5,Saturday
1527379200,Sun,6,Sunday
1527465600,Mon,0,First working day of normal week
1527552e3,Tues,1,Normal working Tuesday
1527638400,Wed,2,Normal working Wednesday
1527724800,Thurs,3,Normal working Thursday
1527811200,Fri,4,Last working day of normal week
1527897600,Sat,5,Saturday
1527984e3,Sun,6,Sunday
1528070400,Mon,12,Bank Holidays including Good Friday
1528156800,Tues,0,First working day of normal week
1528243200,Wed,2,Normal working Wednesday
1528329600,Thurs,3,Normal working Thursday
1528416e3,Fri,4,Last working day of normal week
1528502400,Sat,5,Saturday
1528588800,Sun,6,Sunday
1528675200,Mon,0,First working day of normal week
1528761600,Tues,1,Normal working Tuesday
1528848e3,Wed,2,Normal working Wednesday
1528934400,Thurs,3,Normal working Thursday
1529020800,Fri,4,Last working day of normal week
1529107200,Sat,5,Saturday
1529193600,Sun,6,Sunday
152928e4,Mon,0,First working day of normal week
1529366400,Tues,1,Normal working Tuesday
1529452800,Wed,2,Normal working Wednesday
1529539200,Thurs,3,Normal working Thursday
1529625600,Fri,4,Last working day of normal week
1529712e3,Sat,5,Saturday
1529798400,Sun,6,Sunday
1529884800,Mon,0,First working day of normal week
1529971200,Tues,1,Normal working Tuesday
1530057600,Wed,2,Normal working Wednesday
1530144e3,Thurs,3,Normal working Thursday
1530230400,Fri,4,Last working day of normal week
1530316800,Sat,5,Saturday
1530403200,Sun,6,Sunday
1530489600,Mon,7,First day of week - school holiday
1530576e3,Tues,9,Middle of week - school holiday
1530662400,Wed,9,Middle of week - school holiday
1530748800,Thurs,9,Middle of week - school holiday
1530835200,Fri,11,Last day of week - school holiday
1530921600,Sat,5,Saturday
1531008e3,Sun,6,Sunday
1531094400,Mon,7,First day of week - school holiday
1531180800,Tues,9,Middle of week - school holiday
1531267200,Wed,9,Middle of week - school holiday
1531353600,Thurs,9,Middle of week - school holiday
153144e4,Fri,11,Last day of week - school holiday
1531526400,Sat,5,Saturday
1531612800,Sun,6,Sunday
1531699200,Mon,7,First day of week - school holiday
1531785600,Tues,9,Middle of week - school holiday
1531872e3,Wed,9,Middle of week - school holiday
1531958400,Thurs,9,Middle of week - school holiday
1532044800,Fri,11,Last day of week - school holiday
1532131200,Sat,5,Saturday
1532217600,Sun,6,Sunday
1532304e3,Mon,7,First day of week - school holiday
1532390400,Tues,9,Middle of week - school holiday
1532476800,Wed,9,Middle of week - school holiday
1532563200,Thurs,9,Middle of week - school holiday
1532649600,Fri,11,Last day of week - school holiday
1532736e3,Sat,5,Saturday
1532822400,Sun,6,Sunday
1532908800,Mon,7,First day of week - school holiday
1532995200,Tues,9,Middle of week - school holiday
1533081600,Wed,9,Middle of week - school holiday
1533168e3,Thurs,9,Middle of week - school holiday
1533254400,Fri,11,Last day of week - school holiday
1533340800,Sat,5,Saturday
1533427200,Sun,6,Sunday
1533513600,Mon,12,Bank Holidays including Good Friday
15336e5,Tues,0,First working day of normal week
1533686400,Wed,9,Middle of week - school holiday
1533772800,Thurs,9,Middle of week - school holiday
1533859200,Fri,11,Last day of week - school holiday
1533945600,Sat,5,Saturday
1534032e3,Sun,6,Sunday
1534118400,Mon,7,First day of week - school holiday
1534204800,Tues,9,Middle of week - school holiday
1534291200,Wed,9,Middle of week - school holiday
1534377600,Thurs,9,Middle of week - school holiday
1534464e3,Fri,11,Last day of week - school holiday
1534550400,Sat,5,Saturday
1534636800,Sun,6,Sunday
1534723200,Mon,7,First day of week - school holiday
1534809600,Tues,9,Middle of week - school holiday
1534896e3,Wed,9,Middle of week - school holiday
1534982400,Thurs,9,Middle of week - school holiday
1535068800,Fri,11,Last day of week - school holiday
1535155200,Sat,5,Saturday
1535241600,Sun,6,Sunday
1535328e3,Mon,7,First day of week - school holiday
1535414400,Tues,9,Middle of week - school holiday
1535500800,Wed,9,Middle of week - school holiday
1535587200,Thurs,9,Middle of week - school holiday
1535673600,Fri,11,Last day of week - school holiday
153576e4,Sat,5,Saturday
1535846400,Sun,6,Sunday
1535932800,Mon,0,First working day of normal week
1536019200,Tues,1,Normal working Tuesday
1536105600,Wed,2,Normal working Wednesday
1536192e3,Thurs,3,Normal working Thursday
1536278400,Fri,4,Last working day of normal week
1536364800,Sat,5,Saturday
1536451200,Sun,6,Sunday
1536537600,Mon,0,First working day of normal week
1536624e3,Tues,1,Normal working Tuesday
1536710400,Wed,2,Normal working Wednesday
1536796800,Thurs,3,Normal working Thursday
1536883200,Fri,4,Last working day of normal week
1536969600,Sat,5,Saturday
1537056e3,Sun,6,Sunday
1537142400,Mon,0,First working day of normal week
1537228800,Tues,1,Normal working Tuesday
1537315200,Wed,2,Normal working Wednesday
1537401600,Thurs,3,Normal working Thursday
1537488e3,Fri,4,Last working day of normal week
1537574400,Sat,5,Saturday
1537660800,Sun,6,Sunday
1537747200,Mon,0,First working day of normal week
1537833600,Tues,1,Normal working Tuesday
153792e4,Wed,2,Normal working Wednesday
1538006400,Thurs,3,Normal working Thursday
1538092800,Fri,4,Last working day of normal week
1538179200,Sat,5,Saturday
1538265600,Sun,6,Sunday
1538352e3,Mon,0,First working day of normal week
1538438400,Tues,1,Normal working Tuesday
1538524800,Wed,2,Normal working Wednesday
1538611200,Thurs,3,Normal working Thursday
1538697600,Fri,4,Last working day of normal week
1538784e3,Sat,5,Saturday
1538870400,Sun,6,Sunday
1538956800,Mon,0,First working day of normal week
1539043200,Tues,1,Normal working Tuesday
1539129600,Wed,2,Normal working Wednesday
1539216e3,Thurs,3,Normal working Thursday
1539302400,Fri,4,Last working day of normal week
1539388800,Sat,5,Saturday
1539475200,Sun,6,Sunday
1539561600,Mon,0,First working day of normal week
1539648e3,Tues,1,Normal working Tuesday
1539734400,Wed,2,Normal working Wednesday
1539820800,Thurs,3,Normal working Thursday
1539907200,Fri,4,Last working day of normal week
1539993600,Sat,5,Saturday
154008e4,Sun,6,Sunday
1540166400,Mon,0,First working day of normal week
1540252800,Tues,1,Normal working Tuesday
1540339200,Wed,2,Normal working Wednesday
1540425600,Thurs,3,Normal working Thursday
1540512e3,Fri,4,Last working day of normal week
1540598400,Sat,5,Saturday
1540684800,Sun,6,Sunday
1540771200,Mon,12,Bank Holidays including Good Friday
1540857600,Tues,0,First working day of normal week
1540944e3,Wed,9,Middle of week - school holiday
1541030400,Thurs,9,Middle of week - school holiday
1541116800,Fri,11,Last day of week - school holiday
1541203200,Sat,5,Saturday
1541289600,Sun,6,Sunday
1541376e3,Mon,0,First working day of normal week
1541462400,Tues,1,Normal working Tuesday
1541548800,Wed,2,Normal working Wednesday
1541635200,Thurs,3,Normal working Thursday
1541721600,Fri,4,Last working day of normal week
1541808e3,Sat,5,Saturday
1541894400,Sun,6,Sunday
1541980800,Mon,0,First working day of normal week
1542067200,Tues,1,Normal working Tuesday
1542153600,Wed,2,Normal working Wednesday
154224e4,Thurs,3,Normal working Thursday
1542326400,Fri,4,Last working day of normal week
1542412800,Sat,5,Saturday
1542499200,Sun,6,Sunday
1542585600,Mon,0,First working day of normal week
1542672e3,Tues,1,Normal working Tuesday
1542758400,Wed,2,Normal working Wednesday
1542844800,Thurs,3,Normal working Thursday
1542931200,Fri,4,Last working day of normal week
1543017600,Sat,5,Saturday
1543104e3,Sun,6,Sunday
1543190400,Mon,0,First working day of normal week
1543276800,Tues,1,Normal working Tuesday
1543363200,Wed,2,Normal working Wednesday
1543449600,Thurs,3,Normal working Thursday
1543536e3,Fri,4,Last working day of normal week
1543622400,Sat,5,Saturday
1543708800,Sun,6,Sunday
1543795200,Mon,0,First working day of normal week
1543881600,Tues,1,Normal working Tuesday
1543968e3,Wed,2,Normal working Wednesday
1544054400,Thurs,3,Normal working Thursday
1544140800,Fri,4,Last working day of normal week
1544227200,Sat,5,Saturday
1544313600,Sun,6,Sunday
15444e5,Mon,0,First working day of normal week
1544486400,Tues,1,Normal working Tuesday
1544572800,Wed,2,Normal working Wednesday
1544659200,Thurs,3,Normal working Thursday
1544745600,Fri,4,Last working day of normal week
1544832e3,Sat,5,Saturday
1544918400,Sun,6,Sunday
1545004800,Mon,0,First working day of normal week
1545091200,Tues,1,Normal working Tuesday
1545177600,Wed,2,Normal working Wednesday
1545264e3,Thurs,3,Normal working Thursday
1545350400,Fri,4,Last working day of normal week
1545436800,Sat,5,Saturday
1545523200,Sun,6,Sunday
1545609600,Mon,7,First day of week - school holiday
1545696e3,Tues,14,Christmas Day / New Years Day
1545782400,Wed,13,Christmas period holidays
1545868800,Thurs,13,Christmas period holidays
1545955200,Fri,13,Christmas period holidays
1546041600,Sat,13,Christmas period holidays
1546128e3,Sun,13,Christmas period holidays
1546214400,Mon,13,Christmas period holidays
1546300800,Tues,14,Christmas Day / New Years Day
1546387200,Wed,9,Middle of week - school holiday
1546473600,Thurs,9,Middle of week - school holiday
154656e4,Fri,11,Last day of week - school holiday
1546646400,Sat,5,Saturday
1546732800,Sun,6,Sunday
1546819200,Mon,0,First working day of normal week
1546905600,Tues,1,Normal working Tuesday
1546992e3,Wed,2,Normal working Wednesday
1547078400,Thurs,3,Normal working Thursday
1547164800,Fri,4,Last working day of normal week
1547251200,Sat,5,Saturday
1547337600,Sun,6,Sunday
1547424e3,Mon,0,First working day of normal week
1547510400,Tues,1,Normal working Tuesday
1547596800,Wed,2,Normal working Wednesday
1547683200,Thurs,3,Normal working Thursday
1547769600,Fri,4,Last working day of normal week
1547856e3,Sat,5,Saturday
1547942400,Sun,6,Sunday
1548028800,Mon,0,First working day of normal week
1548115200,Tues,1,Normal working Tuesday
1548201600,Wed,2,Normal working Wednesday
1548288e3,Thurs,3,Normal working Thursday
1548374400,Fri,4,Last working day of normal week
1548460800,Sat,5,Saturday
1548547200,Sun,6,Sunday
1548633600,Mon,0,First working day of normal week
154872e4,Tues,1,Normal working Tuesday
1548806400,Wed,2,Normal working Wednesday
1548892800,Thurs,3,Normal working Thursday
1548979200,Fri,4,Last working day of normal week
1549065600,Sat,5,Saturday
1549152e3,Sun,6,Sunday
1549238400,Mon,0,First working day of normal week
1549324800,Tues,1,Normal working Tuesday
1549411200,Wed,2,Normal working Wednesday
1549497600,Thurs,3,Normal working Thursday
1549584e3,Fri,4,Last working day of normal week
1549670400,Sat,5,Saturday
1549756800,Sun,6,Sunday
1549843200,Mon,0,First working day of normal week
1549929600,Tues,1,Normal working Tuesday
1550016e3,Wed,2,Normal working Wednesday
1550102400,Thurs,3,Normal working Thursday
1550188800,Fri,4,Last working day of normal week
1550275200,Sat,5,Saturday
1550361600,Sun,6,Sunday
1550448e3,Mon,7,First day of week - school holiday
1550534400,Tues,9,Middle of week - school holiday
1550620800,Wed,9,Middle of week - school holiday
1550707200,Thurs,9,Middle of week - school holiday
1550793600,Fri,11,Last day of week - school holiday
155088e4,Sat,5,Saturday
1550966400,Sun,6,Sunday
1551052800,Mon,0,First working day of normal week
1551139200,Tues,1,Normal working Tuesday
1551225600,Wed,2,Normal working Wednesday
1551312e3,Thurs,3,Normal working Thursday
1551398400,Fri,4,Last working day of normal week
1551484800,Sat,5,Saturday
1551571200,Sun,6,Sunday
1551657600,Mon,0,First working day of normal week
1551744e3,Tues,1,Normal working Tuesday
1551830400,Wed,2,Normal working Wednesday
1551916800,Thurs,3,Normal working Thursday
1552003200,Fri,4,Last working day of normal week
1552089600,Sat,5,Saturday
1552176e3,Sun,6,Sunday
1552262400,Mon,0,First working day of normal week
1552348800,Tues,1,Normal working Tuesday
1552435200,Wed,2,Normal working Wednesday
1552521600,Thurs,3,Normal working Thursday
1552608e3,Fri,4,Last working day of normal week
1552694400,Sat,5,Saturday
1552780800,Sun,6,Sunday
1552867200,Mon,12,Bank Holidays including Good Friday
1552953600,Tues,0,First working day of normal week
155304e4,Wed,2,Normal working Wednesday
1553126400,Thurs,3,Normal working Thursday
1553212800,Fri,4,Last working day of normal week
1553299200,Sat,5,Saturday
1553385600,Sun,6,Sunday
1553472e3,Mon,0,First working day of normal week
1553558400,Tues,1,Normal working Tuesday
1553644800,Wed,2,Normal working Wednesday
1553731200,Thurs,3,Normal working Thursday
1553817600,Fri,4,Last working day of normal week
1553904e3,Sat,5,Saturday
1553990400,Sun,6,Sunday
1554076800,Mon,0,First working day of normal week
1554163200,Tues,1,Normal working Tuesday
1554249600,Wed,2,Normal working Wednesday
1554336e3,Thurs,3,Normal working Thursday
1554422400,Fri,4,Last working day of normal week
1554508800,Sat,5,Saturday
1554595200,Sun,6,Sunday
1554681600,Mon,0,First working day of normal week
1554768e3,Tues,1,Normal working Tuesday
1554854400,Wed,2,Normal working Wednesday
1554940800,Thurs,3,Normal working Thursday
1555027200,Fri,4,Last working day of normal week
1555113600,Sat,5,Saturday
15552e5,Sun,6,Sunday
1555286400,Mon,7,First day of week - school holiday
1555372800,Tues,9,Middle of week - school holiday
1555459200,Wed,9,Middle of week - school holiday
1555545600,Thurs,9,Middle of week - school holiday
1555632e3,Fri,12,Bank Holidays including Good Friday
1555718400,Sat,5,Saturday
1555804800,Sun,6,Sunday
1555891200,Mon,12,Bank Holidays including Good Friday
1555977600,Tues,0,First working day of normal week
1556064e3,Wed,9,Middle of week - school holiday
1556150400,Thurs,9,Middle of week - school holiday
1556236800,Fri,11,Last day of week - school holiday
1556323200,Sat,5,Saturday
1556409600,Sun,6,Sunday
1556496e3,Mon,0,First working day of normal week
1556582400,Tues,1,Normal working Tuesday
1556668800,Wed,2,Normal working Wednesday
1556755200,Thurs,3,Normal working Thursday
1556841600,Fri,4,Last working day of normal week
1556928e3,Sat,5,Saturday
1557014400,Sun,6,Sunday
1557100800,Mon,12,Bank Holidays including Good Friday
1557187200,Tues,0,First working day of normal week
1557273600,Wed,2,Normal working Wednesday
155736e4,Thurs,3,Normal working Thursday
1557446400,Fri,4,Last working day of normal week
1557532800,Sat,5,Saturday
1557619200,Sun,6,Sunday
1557705600,Mon,0,First working day of normal week
1557792e3,Tues,1,Normal working Tuesday
1557878400,Wed,2,Normal working Wednesday
1557964800,Thurs,3,Normal working Thursday
1558051200,Fri,4,Last working day of normal week
1558137600,Sat,5,Saturday
1558224e3,Sun,6,Sunday
1558310400,Mon,0,First working day of normal week
1558396800,Tues,1,Normal working Tuesday
1558483200,Wed,2,Normal working Wednesday
1558569600,Thurs,3,Normal working Thursday
1558656e3,Fri,4,Last working day of normal week
1558742400,Sat,5,Saturday
1558828800,Sun,6,Sunday
1558915200,Mon,0,First working day of normal week
1559001600,Tues,1,Normal working Tuesday
1559088e3,Wed,2,Normal working Wednesday
1559174400,Thurs,3,Normal working Thursday
1559260800,Fri,4,Last working day of normal week
1559347200,Sat,5,Saturday
1559433600,Sun,6,Sunday
155952e4,Mon,12,Bank Holidays including Good Friday
1559606400,Tues,0,First working day of normal week
1559692800,Wed,2,Normal working Wednesday
1559779200,Thurs,3,Normal working Thursday
1559865600,Fri,4,Last working day of normal week
1559952e3,Sat,5,Saturday
1560038400,Sun,6,Sunday
1560124800,Mon,0,First working day of normal week
1560211200,Tues,1,Normal working Tuesday
1560297600,Wed,2,Normal working Wednesday
1560384e3,Thurs,3,Normal working Thursday
1560470400,Fri,4,Last working day of normal week
1560556800,Sat,5,Saturday
1560643200,Sun,6,Sunday
1560729600,Mon,0,First working day of normal week
1560816e3,Tues,1,Normal working Tuesday
1560902400,Wed,2,Normal working Wednesday
1560988800,Thurs,3,Normal working Thursday
1561075200,Fri,4,Last working day of normal week
1561161600,Sat,5,Saturday
1561248e3,Sun,6,Sunday
1561334400,Mon,0,First working day of normal week
1561420800,Tues,1,Normal working Tuesday
1561507200,Wed,2,Normal working Wednesday
1561593600,Thurs,3,Normal working Thursday
156168e4,Fri,4,Last working day of normal week
1561766400,Sat,5,Saturday
1561852800,Sun,6,Sunday
1561939200,Mon,7,First day of week - school holiday
1562025600,Tues,9,Middle of week - school holiday
1562112e3,Wed,9,Middle of week - school holiday
1562198400,Thurs,9,Middle of week - school holiday
1562284800,Fri,11,Last day of week - school holiday
1562371200,Sat,5,Saturday
1562457600,Sun,6,Sunday
1562544e3,Mon,7,First day of week - school holiday
1562630400,Tues,9,Middle of week - school holiday
1562716800,Wed,9,Middle of week - school holiday
1562803200,Thurs,9,Middle of week - school holiday
1562889600,Fri,11,Last day of week - school holiday
1562976e3,Sat,5,Saturday
1563062400,Sun,6,Sunday
